id;nom;groupe;amendements_adoptes;hemicycle_interventions;hemicycle_interventions_courtes;semaines_presence
250;Christian Estrosi;LES-REP;3;0;0;0
268;Bernard Debré;LES-REP;3;0;0;0
269;Patrick Devedjian;LES-REP;3;0;0;0
272;Jean-Frédéric Poisson;LES-REP;4;0;0;0
280;François Sauvadet;UDI;2;0;0;0
284;Didier Quentin;LES-REP;3;0;0;0
287;Guy Teissier;LES-REP;3;0;0;0
288;Christophe Priou;LES-REP;3;0;0;0
293;Jacques Pélissard;LES-REP;3;0;0;0
299;Éric Jalton;SRC;2;0;0;0
308;Patrick Lebreton;SRC;0;0;0;0
315;Jacques Lamblin;LES-REP;3;0;0;0
317;David Douillet;LES-REP;3;0;0;0
323;Philippe Vitel;LES-REP;7;0;0;0
325;Sébastien Huyghe;LES-REP;3;0;0;0
330;Bernard Brochand;LES-REP;3;0;0;0
331;Xavier Bertrand;LES-REP;3;0;0;0
336;Olivier Marleix;LES-REP;3;0;0;0
339;Catherine Troallic;SRC;2;0;0;0
346;Jean-Paul Tuaiva;UDI;1;0;0;0
350;Damien Abad;LES-REP;4;0;0;0
351;Sonia Lagarde;UDI;1;0;0;0
352;Charles-Ange Ginesy;LES-REP;3;0;0;0
368;Jonas Tahuaitu;UDI;1;0;0;0
378;Patrick Vignal;SRC;24;0;0;0
393;Michel Françaix;SRC;24;0;0;0
421;Bruno Nestor Azerot;GDR;0;0;0;0
425;Thierry Solère;LES-REP;3;0;0;0
430;Sabine Buis;SRC;0;0;0;0
433;Valérie Lacroute;LES-REP;3;0;0;0
442;Ary Chalus;RRDP;1;0;0;0
451;Maud Olivier;SRC;24;0;0;0
454;Christophe Cavard;ECOLO;10;0;0;0
459;Philippe Gomes;UDI;1;0;0;0
463;Luce Pane;SRC;8;0;0;0
470;Jacques Bompard;NI;0;0;0;0
483;Claudine Schmid;LES-REP;4;0;0;0
493;Jean-Marie Tetart;LES-REP;3;0;0;0
546;Georges Ginesta;LES-REP;3;0;0;0
561;Camille de Rocca Serra;LES-REP;4;0;0;0
569;Michèle Fournier-Armand;SRC;26;0;0;0
577;Philippe Armand Martin;LES-REP;5;0;0;0
578;Jean-Pierre Maggi;RRDP;3;0;0;0
606;Napole Polutélé;SRC;0;0;0;0
103;Michel Lefait;SRC;0;0;0;0
104;Gilles Bourdouleix;NI;0;0;0;0
178;Jean-Paul Bacquet;SRC;0;0;0;0
204;Kléber Mesquida;SRC;0;0;0;0
